1;blok-silnika;6,817127
2;tlok5;7,440526
2;tlok3;3,058789
2;tlok6;2,863272
2;tlok1;3,360989
2;tlok4;7,408066
2;tlok2;3,007618
3;wal-korbowy;19,33749
4;crankshaft-housing;9,997768
5;oil-seal-case;9,884945
6;oil-pump-case;4,566154
7;miska-olejowa;4,112488
8;pompa-woda;9,9422
9;głowica-cylindra;15,43055
9;głowica-cylindra (1);13,57368
10;wal-rozrzadu;23,6546
10;wal-rozrzadu (1);7,184616
10;wal-rozrzadu (2);3,441963
10;wal-rozrzadu (3);30,28036
11;camshaft-hold-1 (2);59,55154
11;camshaft-hold-1 (1);34,33965
12;camshaft-hold-2;33,9269
1;blok-silnika;4,881964
2;tlok5;5,597522
2;tlok3;9,497385
2;tlok6;5,662748
2;tlok1;4,644833
2;tlok4;3,377439
1;blok-silnika;4,302856
2;tlok5;3,683908
2;tlok3;2,705932
2;tlok6;2,167431
2;tlok1;3,074649
2;tlok4;4,483894
2;tlok2;5,935244
3;wal-korbowy;18,91896
4;crankshaft-housing;11,62193
5;oil-seal-case;11,89758
6;oil-pump-case;5,191299
7;miska-olejowa;6,391556
8;pompa-woda;6,814224
9;głowica-cylindra;6,110985
9;głowica-cylindra (1);4,073097
10;wal-rozrzadu;12,98405
10;wal-rozrzadu (1);3,611313
10;wal-rozrzadu (2);3,663925
10;wal-rozrzadu (3);8,716408
11;camshaft-hold-1 (2);33,4323
1;blok-silnika;3,721502
2;tlok5;3,967904
2;tlok6;3,502854
2;tlok3;3,139192
2;tlok1;3,683355
2;tlok4;3,253345
2;tlok2;4,891605
3;wal-korbowy;17,47828
4;crankshaft-housing;5,831715
5;oil-seal-case;8,674976
6;oil-pump-case;6,606243
7;miska-olejowa;10,98384
8;pompa-woda;4,583797
9;głowica-cylindra;4,12265
9;głowica-cylindra (1);2,87809
10;wal-rozrzadu;10,36429
10;wal-rozrzadu (1);3,122383
10;wal-rozrzadu (2);2,622353
10;wal-rozrzadu (3);2,400269
11;camshaft-hold-1 (2);12,16223
11;camshaft-hold-1 (1);34,24965
1;blok-silnika;5,941869
2;tlok5;4,977865
2;tlok3;7,900668
2;tlok6;3,404442
2;tlok1;2,810047
2;tlok4;5,465218
2;tlok2;2,918234
3;wal-korbowy;15,35556
4;crankshaft-housing;6,438633
5;oil-seal-case;6,028774
6;oil-pump-case;4,770229
7;miska-olejowa;3,240986
8;pompa-woda;3,734962
9;głowica-cylindra;5,094021
9;głowica-cylindra (1);4,192764
10;wal-rozrzadu;8,898094
10;wal-rozrzadu (1);2,924583
10;wal-rozrzadu (2);4,105103
10;wal-rozrzadu (3);7,589752
11;camshaft-hold-1 (2);16,71384
11;camshaft-hold-1 (1);10,25117
11;camshaft-hold-1;5,516212
12;camshaft-hold-2 (2);10,40176
12;camshaft-hold-2 (1);5,164497
12;camshaft-hold-2;4,381287
13;camshaft-hold-1 (5);33,306
13;camshaft-hold-1 (4);9,104263
13;camshaft-hold-1 (3);5,650726
14;camshaft-hold-2 (4);9,783478
14;camshaft-hold-2 (5);4,097961
14;camshaft-hold-2 (3);6,828659
15;głowica-pokrywa;9,84285
15;głowica-pokrywa (1);3,628677
16;crankshaft-sprocket;8,886215
17;camshaft-sprocket;5,7202
17;camshaft-sprocket (1);4,815201
17;camshaft-sprocket (2);3,514755
17;camshaft-sprocket (3);3,506638
1;blok-silnika;3,900274
2;tlok5;4,400435
2;tlok3;2,836206
2;tlok6;2,53772
2;tlok1;3,382864
2;tlok4;2,996174
2;tlok2;6,333048
3;wal-korbowy;20,9091
4;crankshaft-housing;8,474751
1;blok-silnika;3,501637
2;tlok5;3,539883
2;tlok6;2,653867
2;tlok3;1,764839
2;tlok1;1,798799
2;tlok4;5,698133
2;tlok2;2,385151
3;wal-korbowy;15,09233
4;crankshaft-housing;6,012238
1;blok-silnika;3,422885
2;tlok5;3,166264
2;tlok3;3,259104
2;tlok6;2,434878
2;tlok1;2,944193
2;tlok4;4,796196
2;tlok2;5,643877
3;wal-korbowy;16,64845
4;crankshaft-housing;7,116495
1;blok-silnika;3,646959
2;tlok5;2,471294
2;tlok3;2,843511
2;tlok6;4,794699
2;tlok1;5,417813
2;tlok4;2,894672
2;tlok2;7,568035
3;wal-korbowy;19,96749
4;crankshaft-housing;4,409313
1;blok-silnika;5,386784
2;tlok5;4,748974
2;tlok3;3,94096
2;tlok1;3,302306
2;tlok6;3,573406
2;tlok4;2,68297
2;tlok2;2,631552
3;wal-korbowy;11,71288
4;crankshaft-housing;3,531509
5;oil-seal-case;6,706741
6;oil-pump-case;4,601929
7;miska-olejowa;2,943779
8;pompa-woda;5,589741
9;głowica-cylindra;5,191669
9;głowica-cylindra (1);4,471214
10;wal-rozrzadu (1);7,804569
1;blok-silnika;11,81537
